id,lat,lon,elevation
199,48.495697,9.03635,326.0
200,48.49598,9.03651,326.0
201,48.49626,9.03656,326.0
202,48.49625,9.03656,326.0
203,48.49644,9.03664,326.0
204,48.496536,9.03663,326.0
205,48.49662,9.03652,326.0
206,48.49673,9.03641,326.0
207,48.49701,9.03634,324.0
208,48.497322,9.03621,324.0
209,48.49807,9.035769,323.0
210,48.498466,9.035589,324.0
211,48.498917,9.03549,324.0
212,48.50089,9.035379,320.0
213,48.50136,9.03522,321.0
214,48.50162,9.03512,322.0
215,48.50264,9.03617,323.0
216,48.502632,9.03617,323.0
217,48.50283,9.03637,324.0
218,48.50309,9.03668,322.0
219,48.50365,9.03722,322.0
220,48.50369,9.037291,322.0
221,48.50371,9.03736,322.0
222,48.50369,9.037519,322.0
223,48.50387,9.03765,322.0
224,48.504047,9.037661,321.0
225,48.50404,9.037661,321.0
226,48.50415,9.03775,321.0
227,48.50636,9.0400505,321.0
228,48.50636,9.04004,321.0
229,48.50804,9.0418005,320.0
230,48.50838,9.042191,321.0
231,48.50838,9.04218,321.0
232,48.508453,9.04209,321.0
233,48.508488,9.041989,321.0
234,48.508717,9.042239,322.0
235,48.508717,9.042231,322.0
236,48.5101,9.04365,323.0
237,48.510197,9.04366,323.0
238,48.51028,9.04363,323.0
239,48.51051,9.043519,324.0
240,48.51045,9.04343,324.0
241,48.5106,9.04317,323.0
242,48.51064,9.043139,323.0
243,48.51064,9.04313,323.0
244,48.510742,9.04332,323.0
245,48.51199,9.04499,320.0
246,48.512093,9.04499,321.0
247,48.51224,9.04496,322.0
248,48.512302,9.04502,321.0
249,48.51239,9.04491,322.0
250,48.51254,9.04477,322.0
251,48.51262,9.04475,322.0
252,48.51278,9.04476,322.0
253,48.51295,9.04472,323.0
254,48.513092,9.04478,324.0
255,48.513187,9.04478,324.0
256,48.51327,9.04477,324.0
257,48.51346,9.04469,325.0
258,48.51363,9.04451,325.0
259,48.51377,9.0443,325.0
260,48.514038,9.04464,325.0
261,48.514027,9.04464,325.0
262,48.51435,9.045059,325.0
263,48.51461,9.04546,326.0
264,48.51544,9.046599,324.0
265,48.51544,9.046591,324.0
266,48.51566,9.04695,325.0
267,48.51581,9.04731,325.0
268,48.51636,9.04896,324.0
269,48.51636,9.04895,324.0
270,48.516376,9.049021,324.0
271,48.51666,9.048811,322.0
272,48.51697,9.048551,322.0
273,48.51769,9.04808,327.0
274,48.51784,9.04797,331.0
275,48.51804,9.047959,339.0
276,48.51925,9.04861,364.0
277,48.51924,9.04861,364.0
278,48.520218,9.04914,342.0
279,48.52028,9.0491905,339.0
280,48.520267,9.0491905,339.0
281,48.520218,9.04914,342.0
282,48.520363,9.04913,337.0
283,48.52053,9.0495205,334.0
284,48.520573,9.04983,333.0
285,48.520573,9.04982,333.0
286,48.520573,9.04986,333.0
287,48.52073,9.04984,332.0
288,48.52091,9.05085,334.0
289,48.52091,9.05084,334.0
290,48.52113,9.05202,333.0
291,48.52113,9.052011,333.0
292,48.52113,9.052051,333.0
293,48.521286,9.052091,332.0
294,48.52203,9.05212,331.0
295,48.52202,9.05212,331.0
296,48.522377,9.052099,332.0
297,48.522682,9.05216,332.0
298,48.52282,9.05216,332.0
299,48.52287,9.05216,332.0
300,48.52294,9.052381,333.0
301,48.52294,9.05246,333.0
302,48.522953,9.05243,333.0
303,48.52294,9.05243,333.0
304,48.52296,9.05276,334.0
305,48.523006,9.05315,334.0
306,48.52308,9.05429,331.0
307,48.52308,9.054279,331.0
308,48.523182,9.055631,333.0
309,48.52308,9.05589,332.0
310,48.523018,9.05605,331.0
311,48.52273,9.05663,330.0
312,48.52263,9.056991,331.0
313,48.52264,9.057131,331.0
314,48.52264,9.05712,331.0
315,48.52267,9.05732,332.0
316,48.522827,9.057631,333.0
317,48.522892,9.057811,333.0
318,48.522972,9.05832,334.0
319,48.522972,9.0583105,334.0
320,48.522987,9.05844,334.0
321,48.52303,9.058539,334.0
322,48.52357,9.05902,334.0
323,48.52356,9.05902,334.0
324,48.523838,9.05945,332.0
325,48.52392,9.05951,331.0
326,48.52394,9.05966,330.0
327,48.524693,9.06034,330.0
328,48.525,9.059521,334.0
329,48.52502,9.05954,334.0
330,48.52502,9.059529,334.0
331,48.526638,9.06098,330.0
332,48.526638,9.06097,330.0
333,48.528587,9.06271,327.0
334,48.528942,9.063061,328.0
335,48.528942,9.06305,328.0
336,48.52921,9.06324,327.0
337,48.52975,9.063741,330.0
338,48.53006,9.063991,331.0
339,48.53057,9.0645,331.0
340,48.53065,9.064671,331.0
341,48.53078,9.06508,331.0
342,48.53078,9.065069,331.0
343,48.53104,9.06584,332.0
344,48.53143,9.06652,337.0
345,48.531536,9.06679,338.0
346,48.531693,9.06731,337.0
347,48.531723,9.067719,334.0
348,48.531723,9.067711,334.0
349,48.53173,9.067961,333.0
350,48.53191,9.067921,333.0
351,48.53203,9.0679,334.0
352,48.5325,9.0677,343.0
353,48.533268,9.06727,347.0
354,48.53349,9.06718,348.0
355,48.53374,9.06711,350.0
356,48.53403,9.06709,355.0
357,48.534077,9.06717,357.0
358,48.534077,9.06716,356.0
359,48.53419,9.06734,361.0
360,48.53467,9.067499,366.0
361,48.535072,9.06786,382.0
362,48.53506,9.06786,382.0
363,48.535282,9.06806,388.0
364,48.535282,9.06805,387.0
365,48.535133,9.06816,392.0
366,48.53485,9.06818,391.0
367,48.5346,9.06822,388.0
368,48.53461,9.06823,389.0
369,48.53461,9.06822,389.0
370,48.53493,9.06853,398.0
