0,1,56,0.000
0,2,32,0.000
0,3,24,0.000
0,4,16,0.000
0,5,16,0.000
0,6,24,0.000
0,7,32,0.000
0,8,32,0.000
0,9,32,0.000
0,10,24,0.000
0,11,24,0.000
0,12,16,0.000
0,13,8,0.000
0,14,8,0.000
0,15,8,0.000
0,16,8,0.000
0,17,8,0.000
0,18,8,16.000
0,19,8,24.000
0,20,8,24.000
0,21,8,32.000
0,22,8,32.000
0,23,8,40.000
0,24,8,40.000
0,25,8,40.000
0,26,8,44.000
0,27,56,0.000
1,1,56,0.000
1,2,32,0.000
1,3,24,0.000
1,4,16,0.000
1,5,16,0.000
1,6,24,0.000
1,7,32,0.000
1,8,32,0.000
1,9,32,0.000
1,10,24,0.000
1,11,24,0.000
1,12,16,0.000
1,13,8,0.000
1,14,8,0.000
1,15,8,0.000
1,16,8,0.000
1,17,8,4.000
1,18,8,14.000
1,19,8,22.000
1,20,8,26.000
1,21,8,30.000
1,22,8,34.000
1,23,8,38.000
1,24,8,40.000
1,25,8,41.000
1,26,8,43.000
1,27,56,0.000
2,1,56,0.000
2,2,32,0.000
2,3,24,0.000
2,4,16,0.000
2,5,16,0.000
2,6,24,0.000
2,7,32,0.000
2,8,32,0.000
2,9,32,0.000
2,10,24,0.000
2,11,24,0.000
2,12,16,0.000
2,13,8,0.000
2,14,8,0.000
2,15,8,0.000
2,16,8,1.000
2,17,8,6.500
2,18,8,13.000
2,19,8,21.000
2,20,8,26.000
2,21,8,30.000
2,22,8,34.000
2,23,8,37.000
2,24,8,40.000
2,25,8,41.250
2,26,8,42.250
2,27,56,0.000
3,1,56,0.000
3,2,32,0.000
3,3,24,0.000
3,4,16,0.000
3,5,16,0.000
3,6,24,0.000
3,7,32,0.000
3,8,32,0.000
3,9,32,0.000
3,10,24,0.000
3,11,24,0.000
3,12,16,0.000
3,13,8,0.000
3,14,8,0.000
3,15,8,0.250
3,16,8,2.375
3,17,8,8.125
3,18,8,13.000
3,19,8,20.000
3,20,8,25.750
3,21,8,30.000
3,22,8,33.500
3,23,8,36.500
3,24,8,39.750
3,25,8,41.063
3,26,8,41.688
3,27,56,0.000
4,1,56,0.000
4,2,32,0.000
4,3,24,0.000
4,4,16,0.000
4,5,16,0.000
4,6,24,0.000
4,7,32,0.000
4,8,32,0.000
4,9,32,0.000
4,10,24,0.000
4,11,24,0.000
4,12,16,0.000
4,13,8,0.000
4,14,8,0.063
4,15,8,0.781
4,16,8,3.813
